cve_id,published,id_year,keyword_tier,bm25_score,cvss3_score,cvss3_version,cvss3_source,cvss4_score,cwes,in_keyword,in_bm25,in_intersection,owasp,text_snippet
CVE-2012-10046,2025-08-08,2012,,9.80444,,,,9.3,CWE-78,False,True,False,,The E-Mail Security Virtual Appliance (ESVA) (tested on version ESVA_2057) contains an unauthenticated command injection vulnerability in the learn-msg.cgi script. The CGI handler fails to sanitize us
CVE-2020-25459,2022-06-16,2020,,15.8281,7.5,3.1,Primary,,CWE-668,False,True,False,,An issue was discovered in function sync_tree in hetero_decision_tree_guest.py in WeBank FATE (Federated AI Technology Enabler) 0.1 through 1.4.2 allows attackers to read sensitive information during 
CVE-2020-9420,2022-12-14,2020,,10.5141,6.5,3.1,Primary,,CWE-319,False,True,False,,"The login password of the web administrative dashboard in Arcadyan Wifi routers VRV9506JAC23 is sent in cleartext, allowing an attacker to sniff and intercept traffic to learn the administrative crede"
CVE-2021-26251,2022-11-11,2021,,19.2334,6.5,3.1,Primary,,CWE-20,False,True,False,,Improper input validation in the Intel(R) Distribution of OpenVINO(TM) Toolkit may allow an authenticated user to potentially enable denial of service via network access. cpe:2.3:a:intel:openvino:*:*:
CVE-2021-30348,2022-01-03,2021,adversarial,0.83246,6.5,3.1,Primary,,CWE-400,True,False,False,,"Improper validation of LLM utility timers availability can lead to denial of service in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snap"
CVE-2021-42165,2022-05-03,2021,,15.1888,8.8,3.1,Primary,,CWE-78,False,True,False,,"MitraStar GPT-2541GNAC-N1 (HGU) 100VNZ0b33 devices allow remote authenticated users to obtain root access by executing command ""deviceinfo show file &&/bin/bash"" because of incorrect sanitization of p"
CVE-2021-4472,2025-11-26,2021,,14.7493,6.5,3.1,Secondary,,CWE-73,False,True,False,,The mistral-dashboard plugin for openstack has a local file inclusion vulnerability through the 'Create Workbook' feature that may result in disclosure of arbitrary local files content. 
CVE-2021-45935,2022-01-01,2021,adversarial,19.8535,5.5,3.1,Primary,,CWE-787,True,True,True,,Grok 9.5.0 has a heap-based buffer overflow in openhtj2k::T1OpenHTJ2K::decompress (called from std::__1::__packaged_task_func<std::__1::__bind<grk::T1DecompressScheduler::deco and std::__1::packaged_t
CVE-2021-47516,2024-05-24,2021,,9.68821,5.5,3.1,Primary,,CWE-401,False,True,False,,"In the Linux kernel, the following vulnerability has been resolved: nfp: Fix memory leak in nfp_cpp_area_cache_add() In line 800 (#1), nfp_cpp_area_alloc() allocates and initializes a CPP area struc"
CVE-2021-47975,2026-05-16,2021,,10.1197,7.2,3.1,Secondary,5.1,CWE-79,False,True,False,,WP Learn Manager 1.1.2 contains a stored cross-site scripting vulnerability that allows unauthenticated attackers to inject malicious scripts through the `fieldtitle` parameter. Attackers can submit P
CVE-2022-0736,2022-02-23,2022,adversarial,16.3762,7.5,3.1,Primary,,CWE-377,True,True,True,,Insecure Temporary File in GitHub repository mlflow/mlflow prior to 1.23.1. cpe:2.3:a:lfprojects:mlflow:*:*:*:*:*:*:*:*
CVE-2022-0845,2022-03-05,2022,,12.4881,9.8,3.1,Primary,,CWE-94,False,True,False,,Code Injection in GitHub repository pytorchlightning/pytorch-lightning prior to 1.6.0. cpe:2.3:a:lightningai:pytorch_lightning:*:*:*:*:*:python:*:*
CVE-2022-1566,2022-05-30,2022,,10.0083,4.8,3.1,Primary,,CWE-79,False,True,False,,"The Quotes llama WordPress plugin before 1.0.0 does not sanitise and escape Quotes, which could allow high privilege users such as admin to perform Cross-Site Scripting attacks even when unfiltered_ht"
CVE-2022-1941,2022-09-22,2022,,9.34899,7.5,3.1,Primary,,CWE-1286,False,True,False,,"A parsing vulnerability for the MessageSet type in the ProtocolBuffers versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 3.21.5 for protobuf-cpp, and versions prior to and inc"
